제목,장르,줄거리있음
혹성탈출: 진화의 시작,"스릴러, 액션, 드라마, SF",O
2012,"액션, 모험, SF",X
컨저링,"공포, 스릴러",O
콜 미 바이 유어 네임,"로맨스, 드라마",X
인크레더블 헐크,"SF, 액션, 모험",X
"아이, 로봇","액션, SF",X
쿵푸팬더,"액션, 애니메이션, 코미디, 가족",X
도리를 찾아서,"모험, 애니메이션, 가족",O
죽은 시인의 사회,드라마,O
실버라이닝 플레이북,"드라마, 코미디, 로맨스",X
2001 스페이스 오디세이,"SF, 미스터리, 모험",X
너의 이름은.,"애니메이션, 로맨스, 드라마",O
아메리칸 히스토리 X,드라마,O
오션스 일레븐,"스릴러, 범죄",O
노트북,"로맨스, 드라마",O
나 홀로 집에,"코미디, 가족",O
라푼젤,"애니메이션, 가족, 모험",O
아멜리에,"코미디, 로맨스",O
킥 애스: 영웅의 탄생,"액션, 범죄",X
그레이의 50가지 그림자,"드라마, 로맨스, 스릴러",O
아메리칸 사이코,"스릴러, 드라마, 범죄",O
다이 하드,"액션, 스릴러",X
캐스트 어웨이,"모험, 드라마",X
트랜스포머,"모험, SF, 액션",X
혹성탈출: 반격의 서막,"SF, 액션, 드라마, 스릴러",O
스타 이즈 본,"음악, 드라마, 로맨스",X
위대한 레보스키,"코미디, 범죄",O
엑스맨,"모험, 액션, SF",X
인 타임,"액션, 스릴러, SF",O
테이큰,"액션, 스릴러",X
더 배트맨,"범죄, 미스터리, 스릴러",X
알라딘,"애니메이션, 가족, 모험, 판타지, 로맨스",O
이티,"모험, SF, 가족",O
노예 12년,"드라마, 역사",X
매트릭스 2: 리로디드,"모험, 액션, 스릴러, SF",X
슈퍼배드 2,"애니메이션, 코미디, 가족, SF",O
오펜하이머,"드라마, 역사",X
제5원소,"SF, 액션, 모험",O
존 윅 3: 파라벨룸,"액션, 스릴러, 범죄",O
나이트 크롤러,"범죄, 드라마, 스릴러",X
마다가스카,"모험, 애니메이션, 코미디, 가족",X
007 카지노 로얄,"모험, 액션, 스릴러",X
나우 유 씨 미 2,"범죄, 스릴러",O
조디악,"범죄, 미스터리, 스릴러",X
그랜 토리노,드라마,O
죠스,"공포, 스릴러, 모험",X
"안녕, 헤이즐","로맨스, 드라마",X
빽 투 더 퓨쳐 3,"모험, 코미디, SF",O
오블리비언,"액션, SF, 모험, 미스터리",X
"나니아 연대기: 사자, 마녀 그리고 옷장","모험, 가족, 판타지",O
브루스 올마이티,"판타지, 코미디",O
풀 메탈 자켓,"드라마, 전쟁",O
