제목,연도,장르,평점,출연,줄거리있음
미스 페레그린과 이상한 아이들의 집,2016,"모험, 판타지",6.8,"에바 그린, 에이사 버터필드, 사무엘 L. 잭슨, 주디 덴치, 루퍼트 에버렛",O
인디펜던스 데이,1996,"액션, 모험, SF",6.916,"윌 스미스, 빌 풀먼, 제프 골드블룸, 메리 맥도널, Judd Hirsch",X
드래곤 길들이기 2,2014,"판타지, 액션, 모험, 애니메이션, 가족",7.685,"제이 바루첼, 케이트 블란쳇, 제라드 버틀러, Craig Ferguson, 아메리카 페레라",O
뮬란,1998,"애니메이션, 가족, 모험",7.904,"밍나 원, 에디 머피, BD 웡, 미겔 페러, Harvey Fierstein",X
히든 피겨스,2016,"드라마, 역사",8.045,"타라지 P. 헨슨, 옥타비아 스펜서, 자넬 모네, 케빈 코스트너, 커스틴 던스트",X
설국열차,2013,"액션, SF, 드라마",6.908,"크리스 에반스, 송강호, 에드 해리스, 존 허트, 틸다 스윈튼",O
인서전트,2015,"액션, SF, 스릴러",6.36,"쉐일린 우들리, 테오 제임스, 마일스 텔러, 케이트 윈슬렛, 안셀 엘고트",X
조조 래빗,2019,"코미디, 전쟁, 드라마",7.981,"로먼 그리핀 데이비스, 토마신 맥켄지, 스칼렛 요한슨, 타이카 와이티티, 샘 록웰",O
샹치와 텐 링즈의 전설,2021,"액션, 모험, 판타지",7.494,"시무 리우, 양조위, 아콰피나, 벤 킹슬리, 장멍얼",O
트레인스포팅,1996,"드라마, 범죄",8.0,"이완 맥그리거, 이완 브렘너, 조니 리 밀러, 케빈 맥키드, 로버트 칼라일",X
엑스맨: 최후의 전쟁,2006,"모험, 액션, SF",6.423,"휴 잭맨, 할리 베리, 이안 맥켈런, 패트릭 스튜어트, 팜케 얀센",O
닥터 스트레인지: 대혼돈의 멀티버스,2022,"판타지, 액션, 모험",7.2,"베네딕트 컴버배치, 소치틀 고메즈, 엘리자베스 올슨, 치웨텔 에지오포, 베네딕트 웡",O
수퍼 소닉,2020,"액션, SF, 코미디, 가족",7.281,"벤 슈와츠, 제임스 마스던, 티카 섬프터, 짐 캐리, 나타샤 로스웰",X
디스트릭트 9,2009,SF,7.474,"샬토 코플리, Jason Cope, Nathalie Boltt, Sylvaine Strike, Elizabeth Mkandawie",O
밀리언 달러 베이비,2004,드라마,7.953,"클린트 이스트우드, 힐러리 스웽크, 모건 프리먼, 제이 바루첼, 마이크 콜터",O
팀 버튼의 크리스마스 악몽,1993,"판타지, 애니메이션, 가족",7.834,"대니 엘프먼, Chris Sarandon, 캐서린 오하라, William Hickey, 글렌 셰딕스",X
아이스 에이지 2,2006,"애니메이션, 가족, 코미디, 모험",6.723,"레이 로마노, 존 레귀자모, 데니스 리어리, 퀸 라티파, 숀 윌리엄 스콧",X
더 울버린,2013,"액션, SF, 모험",6.436,"휴 잭맨, 사나다 히로유키, 오카모토 타오, 후쿠시마 리라, 팜케 얀센",X
겨울왕국 2,2019,"가족, 애니메이션, 모험, 코미디, 판타지",7.228,"이디나 멘젤, 크리스틴 벨, 조시 게드, 조나단 그로프, 에반 레이첼 우드",O
핸콕,2008,"판타지, 액션",6.358,"윌 스미스, 샤를리즈 테론, 제이슨 베이트먼, Jae Head, 에디 마산",X
엔칸토: 마법의 세계,2021,"애니메이션, 코미디, 가족, 판타지",7.567,"스테파니 베아트리스, María Cecilia Botero, 존 레귀자모, Diane Guerrero, Jess Darrow",O
샤잠!,2019,"액션, 코미디, 판타지",6.976,"재커리 레비, 마크 스트롱, 애셔 엔젤, 잭 딜런 그레이저, 애덤 브로디",X
유령 신부,2005,"로맨스, 판타지, 애니메이션",7.592,"조니 뎁, 헬레나 본햄 카터, 에밀리 왓슨, 트레이시 울만, Paul Whitehouse",O
피아니스트,2002,"드라마, 전쟁",8.373,"에이드리언 브로디, 토마스 크레치만, Frank Finlay, Maureen Lipman, Emilia Fox",X
인투 더 와일드,2007,"모험, 드라마",7.795,"에밀 허쉬, 마시아 그레이 하든, 윌리엄 허트, 제나 말론, Brian H. Dierker",X
인디아나 존스: 마궁의 사원,1984,"모험, 액션",7.31,"해리슨 포드, 케이트 캡쇼, 키호이콴, Amrish Puri, Roshan Seth",O
본 아이덴티티,2002,"액션, 미스터리, 스릴러",7.48,"맷 데이먼, 프란카 포텐테, 크리스 쿠퍼, 클라이브 오웬, 브라이언 콕스",X
쏘우,2004,"공포, 미스터리, 범죄",7.423,"토빈 벨, 케리 엘위스, Leigh Whannell, 대니 글로버, Monica Potter",X
크루엘라,2021,"코미디, 범죄, 드라마",8.0,"엠마 스톤, 엠마 톰슨, Joel Fry, 폴 월터 하우저, John McCrea",X
다빈치 코드,2006,"스릴러, 미스터리",6.731,"톰 행크스, 오드리 토투, 이안 맥켈런, 장 르노, 폴 베타니",O
미이라,1999,"모험, 액션, 판타지",6.985,"브랜든 프레이저, 레이첼 와이즈, 존 해나, 아널드 보슬루, 패트리시아 벨라스퀘즈",X
알리타: 배틀 엔젤,2019,"액션, SF, 모험",7.262,"로사 살라자르, 크리스토프 발츠, 제니퍼 코넬리, 마허샬라 알리, 에드 스크레인",O
12명의 성난 사람들,1957,드라마,8.565,"마틴 발삼, John Fiedler, 리 J. 콥, E.G. Marshall, Jack Klugman",O
위대한 쇼맨,2017,드라마,7.858,"휴 잭맨, 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠데이아",O
왓치맨,2009,"미스터리, 액션, SF",7.356,"말린 애커만, 패트릭 윌슨, 빌리 크루덥, 매튜 구드, 재키 얼 헤일리",O
스내치,2000,"범죄, 코미디",7.826,"제이슨 스타뎀, Alan Ford, 스티븐 그레이엄, 브래드 피트, 데니스 파리나",X
미션 임파서블,1996,"모험, 액션, 스릴러",7.024,"톰 크루즈, 존 보이트, 엠마누엘 베아르, 헨리 처니, 장 르노",X
판타스틱 4,2005,"액션, 판타지, SF",5.808,"요안 그리피드, 제시카 알바, 크리스 에반스, 마이클 치클리스, 줄리언 맥마흔",X
더 이퀄라이저,2014,"스릴러, 액션, 범죄",7.291,"덴젤 워싱턴, 마튼 초카스, 클로이 그레이스 모레츠, 데이비드 하버, 헤일리 베넷",X
언브레이커블,2000,"스릴러, 드라마, 미스터리",7.1,"브루스 윌리스, 사무엘 L. 잭슨, 로빈 라이트, Spencer Treat Clark, Charlayne Woodard",X
올드보이,2003,"스릴러, 미스터리",8.235,"최민식, 유지태, 강혜정, 김병옥, 지대한",X
프리 가이,2021,"코미디, 모험, SF",7.452,"라이언 레이놀즈, 조디 코머, 릴 렐 하워리, 조 키어리, Utkarsh Ambudkar",O
빅쇼트,2015,"코미디, 드라마",7.367,"스티브 카렐, 크리스찬 베일, 라이언 고슬링, 브래드 피트, 마리사 토메이",X
고질라,2014,"액션, 드라마, SF",6.363,"에런 테일러존슨, 엘리자베스 올슨, 쥘리에트 비노쉬, 브라이언 크랜스턴, 와타나베 켄",X
슈렉 3,2007,"판타지, 모험, 애니메이션, 코미디, 가족",6.311,"마이크 마이어스, 에디 머피, 카메론 디아즈, 안토니오 반데라스, 줄리 앤드류스",O
고스트버스터즈,1984,"코미디, 판타지",7.498,"빌 머레이, 댄 애크로이드, 시고니 위버, 해롤드 래미스, 릭 모라니스",O
뉴 문,2009,"모험, 판타지, 드라마, 로맨스",5.989,"크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너, 다코타 패닝, 마이클 쉰",O
벅스 라이프,1998,"모험, 애니메이션, 코미디, 가족",6.981,"Dave Foley, 케빈 스페이시, 줄리아 루이드레이퍼스, 헤이든 파네티어, Phyllis Diller",O
혹성탈출: 종의 전쟁,2017,"드라마, SF, 전쟁",7.22,"앤디 서키스, 우디 해럴슨, 케린 코너벌, Terry Notary, 스티브 잔",O
미션 임파서블: 로그네이션,2015,"액션, 모험",7.226,"톰 크루즈, 제레미 레너, 사이먼 페그, 레베카 퍼거슨, 빙 레임스",O
석양의 무법자,1966,서부,8.467,"클린트 이스트우드, 일라이 월릭, 리 밴클리프, Aldo Giuffrè, Luigi Pistilli",O
룸,2015,"드라마, 스릴러",7.993,"브리 라슨, 제이컵 트람블레이, 조앤 앨런, Sean Bridgers, Tom McCamus",X
스타 트렉: 다크니스,2013,"액션, 모험, SF",7.324,"크리스 파인, 재커리 퀸토, 조 샐다나, 베네딕트 컴버배치, 칼 어번",X
마이너리티 리포트,2002,"SF, 액션, 스릴러",7.355,"톰 크루즈, 콜린 파렐, 사만다 모튼, 막스 폰 시도우, Lois Smith",X
그것: 두 번째 이야기,2019,"공포, 스릴러, 드라마",6.838,"제시카 차스테인, 제임스 맥어보이, 빌 헤이더, 아이제이아 무스타파, Jay Ryan",O
더 수어사이드 스쿼드,2021,"액션, 코미디, 모험",7.459,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론",X
탑건,1986,"액션, 드라마, 로맨스",7.07,"톰 크루즈, 켈리 맥길리스, 발 킬머, 안소니 에드워즈, 톰 스커릿",O
시카리오:  암살자의 도시,2015,"액션, 범죄, 스릴러",7.421,"에밀리 블런트, 베니시오 델 토로, 조쉬 브롤린, 빅터 가버, 존 번설",X
엘리시움,2013,"SF, 액션, 드라마, 스릴러",6.524,"맷 데이먼, 조디 포스터, 샬토 코플리, 디에고 루나, 바그네르 모라",X
365일,2020,"로맨스, 드라마, 범죄",6.992,"Anna-Maria Sieklucka, 미켈레 모로네, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska",X
퀸카로 살아남는 법,2004,"드라마, 코미디",7.228,"린제이 로한, 레이첼 맥아담스, 리지 캐플런, 레이시 셔베어, 아만다 사이프리드",O
우리는 밀러 가족,2013,"코미디, 범죄",6.843,"제니퍼 애니스턴, 제이슨 수데이키스, 엠마 로버츠, 윌 폴터, 에드 헬름스",O
에이리언: 커버넌트,2017,"공포, SF",6.178,"마이클 패스벤더, 캐서린 워터스톤, 빌리 크루덥, 대니 맥브라이드, 데미안 비치르",O
쥬만지: 넥스트 레벨,2019,"모험, 코미디, 판타지",6.874,"드웨인 존슨, 케빈 하트, 잭 블랙, 카렌 길런, 아콰피나",X
서던 리치: 소멸의 땅,2018,"SF, 공포",6.443,"나탈리 포트만, 제니퍼 제이슨 리, 지나 로드리게즈, 테사 톰슨, Tuva Novotny",X
돈 룩 업,2021,"코미디, SF, 드라마",7.062,"레오나르도 디카프리오, 제니퍼 로렌스, 메릴 스트립, 케이트 블란쳇, 롭 모건",O
새벽의 황당한 저주,2004,"공포, 코미디",7.5,"사이먼 페그, 닉 프로스트, 케이트 애쉬필드, 루시 데이비스, Dylan Moran",O
브레이킹 던 Part 2,2012,"판타지, 드라마, 로맨스",6.5,"크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너, 피터 패치넬리, 엘리자베스 리서",O
킹스 스피치,2010,"드라마, 역사",7.734,"콜린 퍼스, 제프리 러쉬, 헬레나 본햄 카터, 가이 피어스, 티모시 스폴",O
크레이지 스투피드 러브,2011,"코미디, 드라마, 로맨스",7.274,"스티브 카렐, 라이언 고슬링, 줄리앤 무어, 엠마 스톤, 리오 팁턴",O
어바웃 타임,2013,"드라마, 로맨스, 판타지",7.907,"도널 글리슨, 레이첼 맥아담스, 빌 나이, 톰 홀랜더, 마고 로비",X
한 솔로: 스타워즈 스토리,2018,"SF, 모험, 액션",6.557,"올든 에런라이크, Joonas Suotamo, 우디 해럴슨, 에밀리아 클라크, 도널드 글로버",O
브레이킹 던 Part 1,2011,"모험, 판타지, 로맨스",6.188,"크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너, 빌리 버크, 피터 패치넬리",O
쥬라기 공원 2: 잃어버린 세계,1997,"모험, 액션, SF",6.567,"제프 골드블룸, 줄리앤 무어, 피트 포스틀스웨이트, 알리스 하워드, 리처드 애튼버러",O
행오버 3,2013,코미디,6.212,"브래들리 쿠퍼, 에드 헬름스, 잭 갤리퍼내키스, Justin Bartha, 켄 정",O
리얼 스틸,2011,"액션, SF, 드라마",7.117,"휴 잭맨, Dakota Goyo, 에반젤린 릴리, 케빈 듀랜드, 안소니 마키",X
이클립스,2010,"모험, 판타지, 드라마, 로맨스",6.192,"크리스틴 스튜어트, 로버트 패틴슨, 테일러 로트너, 브라이스 댈러스 하워드, 다코타 패닝",X
트리플 엑스 리턴즈,2017,"액션, 모험, 범죄",6.1,"빈 디젤, 견자단, 루비 로즈, 디피카 파두콘, 토니 콜렛",O
우주전쟁,2005,"모험, 스릴러, SF",6.553,"톰 크루즈, 다코타 패닝, 미란다 오토, Justin Chatwin, 팀 로빈스",O
컨저링 2,2016,공포,7.292,"베라 파미가, 패트릭 윌슨, Madison Wolfe, Frances O'Connor, Lauren Esposito",O
트랜스포머: 패자의 역습,2009,"SF, 액션, 모험",6.221,"샤이아 라보프, 메간 폭스, Peter Cullen, 휴고 위빙, 토니 토드",O
프레데터,1987,"SF, 액션, 모험, 스릴러",7.569,"아놀드 슈왈제네거, 칼 웨더스, Kevin Peter Hall, Elpidia Carrillo, Bill Duke",X
몬스터 호텔,2012,"애니메이션, 코미디, 가족, 판타지",6.967,"셀레나 고메즈, 애덤 샌들러, 앤디 샘버그, 케빈 제임스, 프랜 드레셔",X
이터널스,2021,"SF, 액션, 모험",6.77,"젬마 찬, 리차드 매든, 안젤리나 졸리, 셀마 헤이엑, 쿠마일 난지아니",X
미션 임파서블: 폴아웃,2018,"액션, 모험",7.5,"톰 크루즈, 헨리 카빌, 빙 레임스, 사이먼 페그, 레베카 퍼거슨",O
소스 코드,2011,"스릴러, SF, 미스터리",7.315,"제이크 질렌할, 미셸 모나한, 베라 파미가, 제프리 라이트, Michael Arden",O
12 몽키즈,1995,"SF, 스릴러, 미스터리",7.61,"브루스 윌리스, 매들린 스토우, 브래드 피트, 크리스토퍼 플러머, 데이비드 모스",O
지옥의 묵시록,1979,"드라마, 전쟁",8.3,"마틴 쉰, 말론 브란도, Frederic Forrest, Albert Hall, 로렌스 피시번",X
파고,1996,"범죄, 드라마, 스릴러",7.85,"프랜시스 맥도맨드, 윌리엄 H. 메이시, 스티브 부세미, 피터 스토메어, Harve Presnell",X
글래스,2019,"스릴러, 드라마, SF",6.7,"제임스 맥어보이, 브루스 윌리스, 사무엘 L. 잭슨, 사라 폴슨, 안야 테일러조이",X
달라스 바이어스 클럽,2013,"드라마, 역사",7.913,"매튜 매커너히, 제니퍼 가너, 자레드 레토, 데니스 오헤어, 스티브 잔",O
헬프,2011,드라마,8.204,"엠마 스톤, 비올라 데이비스, 브라이스 댈러스 하워드, 옥타비아 스펜서, 제시카 차스테인",O
원더 우먼 1984,2020,"액션, 모험, 판타지",6.364,"갤 가돗, 크리스 파인, 크리스틴 위그, 페드로 파스칼, 로빈 라이트",O
코렐라인: 비밀의 문,2009,"애니메이션, 가족, 판타지",7.9,"다코타 패닝, 테리 해처, 제니퍼 손더스, 돈 프렌치, 키스 데이비드",O
모노노케 히메,1997,"모험, 판타지, 애니메이션",8.32,"마츠다 요지, 이시다 유리코, 다나카 유코, 코바야시 카오루, 니시무라 마사히코",O
인디아나 존스: 크리스탈 해골의 왕국,2008,"모험, 액션",6.027,"해리슨 포드, 케이트 블란쳇, 캐런 앨런, 샤이아 라보프, 레이 윈스턴",O
포드 V 페라리,2019,"드라마, 역사, 액션",8.008,"맷 데이먼, 크리스찬 베일, 존 번설, 커트리나 밸프, 조시 루커스",O
샌 안드레아스,2015,"액션, 드라마, 스릴러",6.246,"드웨인 존슨, 알렉산드라 다다리오, 칼라 구지노, 요안 그리피드, 아치 판자비",X
레이디 버드,2017,"드라마, 코미디",7.25,"시얼샤 로넌, 로리 멧칼프, 트레이시 레츠, 루카스 헤지스, 티모시 샬라메",X
귀여운 여인,1990,"로맨스, 코미디",7.447,"리처드 기어, 줄리아 로버츠, Ralph Bellamy, 제이슨 알렉산더, 로라 샌 자코모",X
터미네이터 제니시스,2015,"SF, 액션, 스릴러",5.957,"에밀리아 클라크, 제이 코트니, 아놀드 슈왈제네거, 제이슨 클라크, 맷 스미스",X
아르고,2012,"드라마, 스릴러",7.286,"벤 애플렉, 브라이언 크랜스턴, 알란 아킨, 존 굿맨, 빅터 가버",X
트랜스포머 3 : 달의 어둠,2011,"액션, SF, 모험",6.235,"샤이아 라보프, 로지 헌팅턴 휘틀리, Peter Cullen, 레너드 니모이, 존 터투로",O
루카,2021,"애니메이션, 가족, 판타지, 드라마, 코미디",7.781,"제이컵 트람블레이, 잭 딜런 그레이저, Emma Berman, Saverio Raimondo, 마야 루돌프",X
내가 널 사랑할 수 없는 10가지 이유,1999,"코미디, 로맨스, 드라마",7.6,"히스 레저, 줄리아 스타일스, 조셉 고든레빗, 러리사 올레이닉, 데이비드 크럼홀츠",O
장화신은 고양이: 끝내주는 모험,2022,"애니메이션, 모험, 판타지, 코미디, 가족",8.21,"안토니오 반데라스, 셀마 헤이엑, 하비 길렌, 바그네르 모라, 플로렌스 퓨",O
사랑의 블랙홀,1993,"로맨스, 판타지, 코미디",7.633,"빌 머레이, 앤디 맥도웰, 크리스 엘리엇, 스티븐 토볼로스키, Brian Doyle-Murray",X
투모로우,2004,"SF, 스릴러, 모험",6.559,"데니스 퀘이드, 제이크 질렌할, 에미 로섬, Dash Mihok, 제이 O. 샌더스",O
아이스 에이지 3: 공룡시대,2009,"애니메이션, 코미디, 가족, 모험",6.771,"레이 로마노, 존 레귀자모, 데니스 리어리, 사이먼 페그, 숀 윌리엄 스콧",O
분노의 질주: 언리미티드,2011,"액션, 스릴러, 범죄",7.244,"빈 디젤, 폴 워커, 조다나 브루스터, 타이리스 깁슨, 루다크리스",O
더 퍼지,2013,"SF, 공포, 스릴러",6.25,"에단 호크, 레나 헤디, Max Burkholder, Adelaide Kane, Edwin Hodge",X
이웃집 토토로,1988,"판타지, 애니메이션, 가족",8.064,"히다카 노리코, 사카모토 치카, 타카기 히토시, 糸井重里, 시마모토 스미",X
씬 시티,2005,"범죄, 스릴러",7.465,"브루스 윌리스, 제시카 알바, 클라이브 오웬, 미키 루크, 루트거 하우어",X
데드풀과 울버린,2024,"액션, 코미디, SF",7.576,"라이언 레이놀즈, 휴 잭맨, 엠마 코린, 매튜 맥패디언, 다프네 킨",O
오션스 8,2018,"범죄, 코미디, 액션",6.955,"산드라 블록, 케이트 블란쳇, 앤 해서웨이, 민디 케일링, 사라 폴슨",O
스포트라이트,2015,"드라마, 역사",7.813,"마크 러팔로, 마이클 키튼, 레이첼 맥아담스, 리에브 슈라이버, 존 슬래터리",X
트랜스포머: 사라진 시대,2014,"SF, 액션, 모험",5.969,"마크 월버그, Peter Cullen, 스탠리 투치, 켈시 그래머, 니콜라 펠츠",O
오만과 편견,2005,"드라마, 로맨스",8.054,"키이라 나이틀리, 매튜 맥패디언, Brenda Blethyn, 로저먼드 파이크, 캐리 멀리건",O
나쁜 녀석들: 포에버,2020,"스릴러, 액션, 범죄",7.112,"윌 스미스, 마틴 로런스, 바네사 허진스, 알렉산더 루드위그, 찰스 멜튼",O
터미널,2004,"코미디, 드라마",7.355,"톰 행크스, 캐서린 제타존스, 스탠리 투치, Chi McBride, 디에고 루나",O
스파이더맨: 어크로스 더 유니버스,2023,"애니메이션, 액션, 모험, SF",8.339,"셔믹 무어, 헤일리 스타인펠드, 브라이언 타이리 헨리, 로런 벨레스, 제이크 존슨",O
클로버필드 10번지,2016,"스릴러, SF, 드라마, 공포",7.004,"존 굿맨, 메리 엘리자베스 윈스테드, 존 갤러거 주니어, Douglas M. Griffin, 수잔 크라이어",O
내가 사랑했던 모든 남자들에게,2018,"코미디, 로맨스",7.594,"라나 콘도어, 노아 센티네오, 이즈리얼 브루사드, 저넬 패리시, 안나 캐스카트",O
나이스 가이즈,2016,"코미디, 범죄, 액션",7.132,"러셀 크로우, 라이언 고슬링, 앵거리 라이스, 맷 보머, 마가렛 퀄리",X
엑소시스트,1973,"공포, 드라마",7.7,"앨런 버스틴, 린다 블레어, 제이슨 밀러, 막스 폰 시도우, 리 J. 콥",X
록키,1976,드라마,7.801,"실베스터 스탤론, 탈리아 샤이어, 버트 영, 칼 웨더스, Burgess Meredith",O
유전,2018,"공포, 미스터리, 스릴러",7.296,"토니 콜렛, 알렉스 울프, 가브리엘 번, 밀리 샤피로, 앤 도드",X
스콧 필그림,2010,"액션, 코미디, 로맨스",7.5,"마이클 세라, 메리 엘리자베스 윈스테드, 엘런 웡, 키어런 컬킨, 앨리슨 필",O
아마겟돈,1998,"액션, SF, 모험",6.835,"브루스 윌리스, 빌리 밥 손튼, 벤 애플렉, 리브 타일러, Will Patton",X
캐빈 인 더 우즈,2012,"공포, 미스터리, 코미디",6.654,"크리스틴 코널리, 프란 크랜즈, 크리스 헴스워스, Jesse Williams, Anna Hutchison",O
토르: 러브 앤 썬더,2022,"판타지, 액션, 코미디",6.368,"크리스 헴스워스, 나탈리 포트만, 크리스찬 베일, 테사 톰슨, 타이카 와이티티",O
배트맨,1989,"판타지, 액션, 범죄",7.234,"마이클 키튼, 잭 니콜슨, 킴 베이싱어, Robert Wuhl, Pat Hingle",X
공각기동대: 고스트 인 더 쉘,2017,"SF, 드라마, 액션",6.1,"스칼렛 요한슨, 기타노 다케시, 필루 아스베크, 마이클 피트, 친 한",X
007 퀀텀 오브 솔러스,2008,"모험, 액션, 스릴러",6.336,"다니엘 크레이그, 올가 쿠릴렌코, 마티유 아말릭, 주디 덴치, 잔카를로 잔니니",O
심슨 가족: 더 무비,2007,"애니메이션, 코미디, 가족",7.023,"댄 카스텔라네타, 줄리 캐브너, 낸시 카트라이트, 야들리 스미스, 행크 아자리아",O
28일 후,2002,"공포, 스릴러, SF",7.244,"킬리언 머피, 나오미 해리스, 브렌던 글리슨, 메건 번스, 크리스토퍼 에클스턴",X
조찬 클럽,1985,"코미디, 드라마",7.721,"Emilio Estevez, Judd Nelson, 몰리 링월드, Anthony Michael Hall, 앨리 시디",X
22 점프 스트리트,2014,"범죄, 코미디, 액션",6.829,"조나 힐, 채닝 테이텀, 피터 스토메어, 와이엇 러셀, Amber Stevens West",O
킹콩,2005,"모험, 드라마, 액션",6.894,"나오미 왓츠, 에이드리언 브로디, 잭 블랙, 앤디 서키스, 콜린 행크스",X
마이펫의 이중생활,2016,"애니메이션, 코미디, 가족, 모험",6.322,"루이 C.K., 에릭 스톤스트리트, 케빈 하트, 제니 슬레이트, 엘리 캠퍼",O
레고 무비,2014,"애니메이션, 가족, 모험, 코미디, 판타지",7.43,"크리스 프랫, 엘리자베스 뱅크스, 윌 페럴, 모건 프리먼, 윌 아넷",O
애프터,2019,"드라마, 로맨스",7.106,"Josephine Langford, 히어로 파인스 티핀, Shane Paul McGhie, Khadijha Red Thunder, 딜런 아널드",X
정글북,2016,"모험, 가족, 판타지",6.876,"Neel Sethi, 빌 머레이, 벤 킹슬리, 이드리스 엘바, 스칼렛 요한슨",X
카 2,2011,"애니메이션, 가족, 모험, 코미디",6.184,"Larry the Cable Guy, 오웬 윌슨, 마이클 케인, 에밀리 모티머, 에디 이자드",O
베이워치: SOS 해상 구조대,2017,"코미디, 액션, 범죄",6.082,"드웨인 존슨, 잭 에프론, 프리양카 초프라, 알렉산드라 다다리오, Kelly Rohrbach Walton",X
채피,2015,"범죄, 액션, SF",6.792,"샬토 코플리, 데브 파텔, 휴 잭맨, Ninja, Yo-Landi Visser",X
비틀쥬스,1988,"판타지, 코미디",7.4,"알렉 볼드윈, 지나 데이비스, 위노나 라이더, 캐서린 오하라, 제프리 존스",O
씽,2016,"애니메이션, 코미디, 가족, 음악",7.1,"매튜 매커너히, 리즈 위더스푼, 세스 맥팔레인, 스칼렛 요한슨, 존 C. 라일리",X
부산행,2016,"액션, 공포, 스릴러",7.752,"공유, 김수안, 정유미, 마동석, 최우식",X
가디언즈 오브 갤럭시 Vol. 3,2023,"SF, 모험, 액션",7.932,"크리스 프랫, 조 샐다나, 데이브 바티스타, 카렌 길런, 폼 클레멘티에프",O
메이즈 러너: 데스 큐어,2018,"SF, 액션, 모험, 스릴러",7.082,"딜런 오브라이언, 카야 스코델라리오, 토머스 브로디생스터, 이기홍, Dexter Darden",O
판타스틱 4: 실버 서퍼의 위협,2007,"SF, 모험, 액션",5.633,"요안 그리피드, 제시카 알바, 크리스 에반스, 마이클 치클리스, 줄리언 맥마흔",O
인어공주,1989,"애니메이션, 가족, 판타지",7.351,"조디 벤선, Samuel E. Wright, Pat Carroll, Christopher Daniel Barnes, Kenneth Mars",O
노바디,2021,"액션, 스릴러",7.875,"밥 오덴커크, Алексей Серебряков, 코니 닐센, 크리스토퍼 로이드, 마이클 아이언사이드",X
히트,1995,"범죄, 드라마, 액션",7.939,"알 파치노, 로버트 드 니로, 발 킬머, 존 보이트, 톰 시즈모어",X
프렌즈 위드 베네핏,2011,"로맨스, 코미디",6.644,"저스틴 팀버레이크, 밀라 쿠니스, 제나 엘프먼, 패트리샤 클락슨, 우디 해럴슨",X
본 얼티메이텀,2007,"액션, 드라마, 미스터리, 스릴러",7.439,"맷 데이먼, 줄리아 스타일스, 데이비드 스트러세언, 스콧 글렌, 패디 콘시딘",O
