제목,연도,장르,평점,출연,줄거리있음
라이온 킹,1994,"애니메이션, 가족, 드라마",8.254,"매튜 브로더릭, Moira Kelly, 제레미 아이언스, 네이선 레인, Ernie Sabella",O
신비한 동물사전,2016,"판타지, 모험",7.309,"에디 레드메인, 캐서린 워터스톤, Dan Fogler, 앨리슨 수돌, 콜린 파렐",X
호빗: 뜻밖의 여정,2012,"모험, 판타지, 액션",7.378,"마틴 프리먼, 이안 맥켈런, 리차드 아미티지, 제임스 네스빗, Ken Stott",O
컨택트,2016,"드라마, SF, 미스터리",7.629,"에이미 아담스, 제레미 레너, 포레스트 휘태커, 마이클 스툴바그, 마크 오브라이언",X
레버넌트: 죽음에서 돌아온 자,2015,"서부, 드라마, 모험",7.5,"레오나르도 디카프리오, 톰 하디, 도널 글리슨, 윌 폴터, 포레스트 굿럭",X
그린 마일,1999,"판타지, 드라마, 범죄",8.506,"톰 행크스, 데이비드 모스, 보니 헌트, 마이클 클라크 덩컨, 제임스 크롬웰",X
데드풀 2,2018,"액션, 코미디, 모험",7.491,"라이언 레이놀즈, 조쉬 브롤린, 모레나 바카린, 줄리안 덴니슨, 재지 비츠",X
배트맨 대 슈퍼맨: 저스티스의 시작,2016,"액션, 모험, 판타지",6.005,"벤 애플렉, 헨리 카빌, 제시 아이젠버그, 갤 가돗, 에이미 아담스",X
킬 빌: 1부,2003,"액션, 범죄",8.0,"우마 서먼, 루시 리우, 비비카 A. 폭스, 대릴 해나, 데이비드 캐러딘",O
샤이닝,1980,"공포, 스릴러",8.203,"잭 니콜슨, 셜리 듀발, 대니 로이드, 스캣맨 크로더스, 베리 넬슨",X
인크레더블,2004,"액션, 모험, 애니메이션, 가족",7.727,"크레이그 T. 넬슨, 홀리 헌터, Sarah Vowell, Spencer Fox, 제이슨 리",O
겟 아웃,2017,"미스터리, 스릴러, 공포",7.624,"다니엘 칼루야, 앨리슨 윌리엄스, 캐서린 키너, 브래들리 휘트포드, 케일럽 랜드리 존스",O
슈렉,2001,"애니메이션, 코미디, 판타지, 모험, 가족",7.769,"마이크 마이어스, 에디 머피, 카메론 디아즈, 존 리스고, 뱅상 카셀",O
어메이징 스파이더맨,2012,"액션, 모험, SF",6.74,"앤드류 가필드, 엠마 스톤, 리스 이판, 데니스 리어리, 마틴 쉰",X
라따뚜이,2007,"애니메이션, 코미디, 가족, 판타지",7.844,"패튼 오즈월트, 이안 홈, Lou Romano, 브라이언 데너히, 피터 손",X
언터처블: 1%의 우정,2011,"드라마, 코미디",8.272,"프랑수아 클루제, 오마르 시, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux",O
스타워즈 에피소드 5: 제국의 역습,1980,"모험, 액션, SF",8.392,"마크 해밀, 해리슨 포드, 캐리 피셔, 빌리 디 윌리엄스, 안소니 다니엘스",O
헝거게임: 캣칭 파이어,2013,"모험, 액션, SF",7.427,"제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 우디 해럴슨, 엘리자베스 뱅크스",O
